"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL415989";"";"0";"440.50";"0";"2.85";"45";"O=C(NCc1cccc(CNC(=O)OCCCc2c[nH]cn2)c1)OCCCc1c[nH]cn1";"Ki";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL859310";"Binding affinity against H1 receptor of Guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1129754";"1";"Scientific Literature";"J. Med. Chem.";"1996";""
"CHEMBL62147";"";"0";"378.46";"0";"3.12";"72";"N=C(NC/C=C(\c1ccc(F)cc1)c1ccccn1)NCCCc1c[nH]cn1";"Kd";"'='";"346.74";"nM";"6.46";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL883998";"Antagonist activity at histamine H1 receptor against histamine in isolated ileum of guinea pig.";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1124639";"1";"Scientific Literature";"J. Med. Chem.";"1989";""
"CHEMBL279617";"";"0";"290.28";"0";"2.50";"4";"O=C(Nc1cccc([N+](=O)[O-])c1)OCCCc1c[nH]cn1";"Ki";"'='";"12589.25";"nM";"4.90";"";"";"UO_0000065";"16.88";"0.32";"2.40";"4.45";"False";"CHEMBL859310";"Binding affinity against H1 receptor of Guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1129754";"1";"Scientific Literature";"J. Med. Chem.";"1996";""
"CHEMBL113404";"";"0";"376.37";"0";"1.02";"8";"NNC(=O)c1ccc(OCCCc2c[nH]cn2)cc1.O=C(O)/C=C\C(=O)O";"Kd";"'='";"79432.82";"nM";"4.10";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL857122";"Histamine H1-receptor activity on isolated guinea pig ileum";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1132948";"1";"Scientific Literature";"J. Med. Chem.";"2000";""
"CHEMBL477799";"";"0";"456.54";"0";"4.02";"11i";"O=c1cc(-c2ccccc2)c2ccc(OCC(O)CN3CCN(c4ccccc4)CC3)cc2o1";"Emax";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL991562";"Antagonist activity at histamine H1 receptor in guinea pig ileum assessed as inhibition of histamine-induced contractions at 0.1 mg/ml relative to control";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1144223";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";""
"CHEMBL1202941";"";"0";"330.88";"0";"2.22";"14";"COc1cccc(C2SCC(=O)N2CCCN(C)C)c1.Cl";"IC50";"'='";"25000.0";"nM";"4.60";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL823938";"In vitro for histamine H1 receptor antagonist activity against histamine-induced contractions on isolated guinea pig ileum";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1125507";"1";"Scientific Literature";"J. Med. Chem.";"1992";""
"CHEMBL11584";"";"0";"291.40";"0";"3.29";"9";"NCCc1c[nH]c(CC(c2ccccc2)c2ccccc2)n1";"pKp";"'='";"3.87";"";"";"";"";"";"";"";"";"";"False";"CHEMBL694748";"Negative logarithm of receptor dissociation constant Kp was reported";"F";"BAO_0000019";"assay format";"Cavia porcellus";"";"";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1132974";"1";"Scientific Literature";"J. Med. Chem.";"2000";""
"CHEMBL274767";"";"0";"333.48";"0";"4.46";"12";"NCCc1c[nH]c(CCCCC(c2ccccc2)c2ccccc2)n1";"Emax";"'='";"0.0";"";"";"";"";"";"";"";"";"";"False";"CHEMBL695100";"Intrinsic activity was reported in endothelium-denuded guinea pig(pre contracted with PGF-2 alpha) at a concentration of 10 uM";"F";"BAO_0000019";"assay format";"Cavia porcellus";"";"";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1132974";"1";"Scientific Literature";"J. Med. Chem.";"2000";""
"CHEMBL277989";"";"0";"324.18";"0";"3.35";"14";"O=C(Nc1ccc(Br)cc1)OCCCc1c[nH]cn1";"Ki";"'='";"25118.86";"nM";"4.60";"";"";"UO_0000065";"14.19";"0.33";"1.25";"6.86";"False";"CHEMBL859310";"Binding affinity against H1 receptor of Guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1129754";"1";"Scientific Literature";"J. Med. Chem.";"1996";""
"CHEMBL542954";"";"0";"582.56";"2";"5.16";"7";"Cl.Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1";"Inhibition";"'='";"77.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL687116";"In vitro antagonism of histamine-induced contraction of guinea pig ileum at 1x10E-7M";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1128457";"1";"Scientific Literature";"J. Med. Chem.";"1995";""
"CHEMBL274989";"";"0";"263.27";"0";"2.73";"16";"O=C(Nc1ccc(F)cc1)OCCCc1c[nH]cn1";"Ki";"'='";"79432.82";"nM";"4.10";"";"";"UO_0000065";"15.57";"0.29";"1.37";"6.12";"False";"CHEMBL859310";"Binding affinity against H1 receptor of Guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1129754";"1";"Scientific Literature";"J. Med. Chem.";"1996";""
"CHEMBL2387229";"";"0";"484.96";"1";"6.07";"17m";"Cc1cc(=O)oc2c(Cl)c(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc12";"Ki";"'='";"1125.3";"nM";"5.95";"";"";"UO_0000065";"12.27";"0.24";"-0.12";"8.66";"False";"CHEMBL2390224";"Displacement of [3H]mepyramine from histamine H1 receptor in guinea pig cerebellum after 60 mins by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Cavia porcellus";"CHEMBL3638233";"Cerebellum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL2385071";"1";"Scientific Literature";"J. Med. Chem.";"2013";""
"CHEMBL17436";"";"0";"509.59";"2";"5.59";"1";"COc1cc(C(C)=O)ccc1OCCCN1CCC(C(O)(c2ccc(F)cc2)c2ccc(F)cc2)CC1";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"15.89";"0.30";"2.51";"13.72";"False";"CHEMBL693832";"Inhibitory activity against Tritiated [3H]- mepyramine binding to histamine H1 receptor in guinea pig cerebral cortex";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3559724";"Cerebral cortex";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1124311";"1";"Scientific Literature";"J. Med. Chem.";"1989";""
"CHEMBL319123";"";"0";"402.34";"0";"3.00";"7b";"O=C(NCCN1CCN(Cc2ccccc2)CC1)c1ccccc1Br";"IC50";"'='";"421.0";"nM";"6.38";"";"";"UO_0000065";"15.85";"0.35";"3.38";"17.92";"False";"CHEMBL693824";"Antihistaminic activity against Histamine H1 receptor was measured on isolated terminal part of guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1125003";"1";"Scientific Literature";"J. Med. Chem.";"1990";""
"CHEMBL21727";"";"0";"828.97";"2";"9.66";"16c";"COc1ccc(CN(CCN(C)CCCCCCNC(=O)c2ccc(-c3c4ccc5cc(O)ccc5c4oc4c3ccc3cc(=O)ccc34)c(C(=O)O)c2)c2ccccn2)cc1";"Kd";"'='";"36.31";"nM";"7.44";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL695158";"Histamine H1 receptor antagonistic activity in guinea pig ileum using fluorescence-labeled H1 as radioligand";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1136672";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";""
"CHEMBL309106";"";"0";"585.71";"1";"3.25";"24";"CC(C)Oc1ccccc1N1CCN(C[C@@H](O)CNC(=O)c2ccc3c(c2)C(=O)N(c2ccc(N(C)C)cc2)C3=O)CC1";"Ki";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"12.67";"0.24";"4.17";"7.02";"False";"CHEMBL874138";"Binding affinity towards histamine H1 receptor was determined in guinea pig brain using [3H]pyrilamine as radioligand";"B";"BAO_0000019";"assay format";"Cavia porcellus";"";"";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1133729";"1";"Scientific Literature";"J. Med. Chem.";"2000";""
"CHEMBL15883";"";"0";"290.28";"0";"2.50";"3";"O=C(Nc1ccc([N+](=O)[O-])cc1)OCCCc1c[nH]cn1";"Ki";"'='";"19952.62";"nM";"4.70";"";"";"UO_0000065";"16.19";"0.31";"2.20";"4.27";"False";"CHEMBL859310";"Binding affinity against H1 receptor of Guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1129754";"1";"Scientific Literature";"J. Med. Chem.";"1996";""
"CHEMBL277285";"";"0";"274.32";"0";"1.85";"22";"Nc1ccc(CNC(=O)OCCCc2c[nH]cn2)cc1";"Ki";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"14.58";"0.27";"2.15";"4.30";"False";"CHEMBL859310";"Binding affinity against H1 receptor of Guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1129754";"1";"Scientific Literature";"J. Med. Chem.";"1996";""
"CHEMBL11584";"";"0";"291.40";"0";"3.29";"9";"NCCc1c[nH]c(CC(c2ccccc2)c2ccccc2)n1";"Relative potency";"'='";"0.5";"";"";"";"";"";"";"";"";"";"False";"CHEMBL698613";"Relative potency in guinea pig ileum whole segment; value ranges from 0.4 to 0.6";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1132974";"1";"Scientific Literature";"J. Med. Chem.";"2000";""
"CHEMBL16654";"";"0";"327.31";"0";"3.29";"23";"O=C(NCc1ccc(C(F)(F)F)cc1)OCCCc1c[nH]cn1";"Ki";"'='";"15848.93";"nM";"4.80";"";"";"UO_0000065";"14.66";"0.29";"1.51";"7.16";"False";"CHEMBL859310";"Binding affinity against H1 receptor of Guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1129754";"1";"Scientific Literature";"J. Med. Chem.";"1996";""
"CHEMBL58740";"";"0";"431.37";"0";"4.38";"65";"N=C(NCCCc1c[nH]cn1)NCCC(c1ccc(Cl)c(Cl)c1)c1ccccn1";"Kd";"'='";"79.43";"nM";"7.10";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL883998";"Antagonist activity at histamine H1 receptor against histamine in isolated ileum of guinea pig.";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1124639";"1";"Scientific Literature";"J. Med. Chem.";"1989";""
"CHEMBL312083";"";"0";"447.54";"0";"3.63";"22";"Cc1ccc(CN2CCN(CCCOc3ccc4c(O)c5nnnc-5oc4c3C)CC2)cc1";"Kd";"'='";"15.85";"nM";"7.80";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL686782";"Compound was tested for H1-antihistamine activity in guinea pig ileum.";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1123461";"1";"Scientific Literature";"J. Med. Chem.";"1986";""
"CHEMBL113403";"";"0";"405.41";"0";"2.63";"27";"COc1cc(OCCCc2c[nH]cn2)ccc1/C(C)=N/O.O=C(O)/C=C\C(=O)O";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL857122";"Histamine H1-receptor activity on isolated guinea pig ileum";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1132948";"1";"Scientific Literature";"J. Med. Chem.";"2000";""
"CHEMBL1807217";"";"0";"368.91";"0";"4.11";"1";"OCCCN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1";"Activity";"'='";"45.17";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL2400869";"Antagonist activity at histamine H1 receptor in guinea pig ileum assessed as inhibition of histamine-induced smooth muscle spasm at 0.2 mg/mL after 3 mins (Rvb = 1.27 +/- 5.65%)";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL2396577";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL1172";"DESLORATADINE";"4";"310.83";"0";"4.02";"Desloratadine";"Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1";"Activity";"'='";"1.67";"g";"";"";"";"UO_0000021";"";"";"";"";"False";"CHEMBL2400870";"Antagonist activity at histamine H1 receptor in guinea pig ileum assessed as inhibition of histamine-induced smooth muscle contraction at 0.2 mg/mL after 3 mins (Rvb = 3.37 +/- 1.05 g)";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL2396577";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL268229";"";"0";"125.17";"0";"0.30";"RAMHA (+)-1";"C[C@@H](N)Cc1c[nH]cn1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL698453";"Binding affinity to H-1 receptor was determined in guinea pig brain tissue using [3H]- N alpha-methylhistamine ligand";"B";"BAO_0000019";"assay format";"Cavia porcellus";"";"";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1131557";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1998";""
"CHEMBL17728";"";"0";"201.27";"0";"1.69";"25";"NCC(Cc1ccccc1)c1c[nH]cn1";"Agonist activity";"'='";"0.1";"";"";"";"";"";"";"";"";"";"False";"CHEMBL695594";"In vitro agonist activity against histamine H1-receptor in guinea pig ileum in the presence of atropine (0.5 uM) relative to histamine.";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1122180";"1";"Scientific Literature";"J. Med. Chem.";"1982";""
"CHEMBL314438";"";"0";"283.30";"0";"3.20";"9";"CN(C)CCc1c[nH]c(-c2cccc(C(F)(F)F)c2)n1";"Relative potency";"'='";"169.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL692268";"Relative potency against Histamine H1 receptor of guinea pig aorta";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638186";"Aorta";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1130586";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1998";""
"CHEMBL100858";"";"0";"449.34";"0";"2.84";"7a";"O=C(NCCN1CCN(Cc2ccccc2)CC1)c1ccccc1I";"IC50";"'='";"345.0";"nM";"6.46";"";"";"UO_0000065";"14.38";"0.35";"3.62";"18.16";"False";"CHEMBL693824";"Antihistaminic activity against Histamine H1 receptor was measured on isolated terminal part of guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1125003";"1";"Scientific Literature";"J. Med. Chem.";"1990";""
"CHEMBL101029";"";"0";"392.48";"0";"3.38";"12c";"O=C(CCN1CCN2Cc3[nH]c4ccccc4c3CC2C1)Nc1ccccc1F";"IC50";"'='";"0.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL693824";"Antihistaminic activity against Histamine H1 receptor was measured on isolated terminal part of guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1125003";"1";"Scientific Literature";"J. Med. Chem.";"1990";""
"CHEMBL314438";"";"0";"283.30";"0";"3.20";"9";"CN(C)CCc1c[nH]c(-c2cccc(C(F)(F)F)c2)n1";"Emax";"'='";"54.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL695833";"Partial agonist activity against Histamine H1 receptor in guinea pig aorta";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638186";"Aorta";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1130586";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1998";""
"CHEMBL321738";"";"0";"357.88";"0";"2.89";"7c";"O=C(NCCN1CCN(Cc2ccccc2)CC1)c1ccccc1Cl";"IC50";"'='";"696.0";"nM";"6.16";"";"";"UO_0000065";"17.21";"0.34";"3.27";"17.31";"False";"CHEMBL693824";"Antihistaminic activity against Histamine H1 receptor was measured on isolated terminal part of guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1125003";"1";"Scientific Literature";"J. Med. Chem.";"1990";""
